SSN,Sif_key,Quarter,County_k,Ownership,NAICS,WAGE_AMT,WEEKS_HO,notes
927618520,9833747,20011,51,5,423310,24849.06,942,
262941889,9619468,20011,900,5,238321,11706.99,205,
690472117,1242259,20011,61,5,523120,159.02,258,
66307111,2729943,20011,5,5,624410,3791.98,831,
155525226,8023276,20011,51,3,522110,9424.96,76,
337865568,2003125,20011,39,5,622110,2080,896,
410156441,3720025,20011,900,5,561320,6413.76,744,
315436505,6876785,20011,67,5,541110,7348.38,822,
893905239,4160398,20011,39,5,326199,4749.25,169,
169621868,9612063,20011,51,5,423420,6377.21,418,
21247349,5443455,20011,900,5,561320,5111.83,374,
549100816,6510851,20011,47,5,445120,1238.75,209,
692660967,1655071,20011,900,5,622110,8539.26,597,
12152899,6639463,20011,900,5,813110,22641.19,394,
414479886,3343124,20011,900,5,441110,8613.55,735,
525392274,5872477,20011,51,5,322121,32602.43,229,
552730777,1645480,20011,29,3,611110,12702.3,381,
263597156,9782783,20011,29,5,721110,4834.12,142,
364719175,7262500,20011,47,5,611310,2348.53,197,
394245254,2507958,20011,5,5,722513,31395.34,37,
875638552,7592819,20011,900,5,622110,0,59,
548153418,3769295,20011,67,5,236115,5401.44,488,
482495563,2273671,20011,900,5,511210,1193.43,718,
473383216,5562416,20011,900,3,813990,7246.62,315,
229582962,6996880,20011,53,5,333924,1233.48,55,
170891468,8136598,20011,900,5,113310,2745.88,87,
873114869,3694273,20011,900,5,551114,2639.62,100,
596369341,5809327,20011,900,5,452319,8198.77,369,
129074923,3797763,20011,17,5,238321,17639.26,180,
222347643,9219225,20011,47,5,441310,8284,643,
402613566,5530238,20011,53,5,722511,20947.25,717,
896297972,130307,20011,51,5,327310,61594.72,95,
395146139,4218073,20011,900,5,425120,17545.68,648,
540139339,2488277,20011,900,5,621210,8862.67,622,
905108167,2741053,20011,900,5,621111,535.18,579,
556828837,9122469,20011,900,5,442110,26378.56,250,
316897862,2199814,20011,67,5,452311,4850.71,979,
414737684,3793547,20011,19,5,623210,8660.2,987,
199421365,5760954,20011,900,5,624120,10203.92,453,
679252698,5764860,20011,900,5,621210,4956.31,48,
855508232,4360617,20011,11,5,722513,13852.42,321,
557245285,691179,20011,900,5,322121,8750,750,
599581021,3516269,20011,900,5,811192,753.38,905,
803397789,5558683,20011,5,5,722513,1414.73,336,
543367348,2480500,20011,51,5,621111,683.5,504,
298244196,5334618,20011,900,5,611110,9661.5,6,
953449686,1258248,20011,900,5,332510,1530.96,174,
94655280,6070051,20011,67,5,622110,2953.51,970,
447105510,1613749,20011,67,5,532283,1948.5,585,
464639837,4771775,20011,900,5,812112,10892.89,62,
927618520,9833747,20012,51,5,423310,683.5,504,"same firm, worker, quarter 2"
262941889,9619468,20012,900,5,238321,9661.5,6,"same firm, worker, quarter 2"
690472117,1242259,20012,61,5,523120,1530.96,174,"same firm, worker, quarter 2"
66307111,2729943,20012,5,5,624410,2953.51,970,"same firm, worker, quarter 2"
155525226,8023276,20012,51,3,522110,1948.5,585,"same firm, worker, quarter 2"
337865568,2003125,20012,39,5,622110,8660.2,62,"same firm, worker, quarter 2"
12302420,9833747,20011,51,5,423310,10203.92,987,"same firm, new worker, quarter 1"
1289179283,9619468,20011,900,5,238321,4956.31,453,"same firm, new worker, quarter 1"
23901823,1242259,20011,61,5,523120,13852.42,48,"same firm, new worker, quarter 1"
123982931,2729943,20011,5,5,624410,8750,321,"same firm, new worker, quarter 1"
1239128,8023276,20011,51,3,522110,753.38,750,"same firm, new worker, quarter 1"
12398129,2003125,20011,39,5,622110,2080,905,"same firm, new worker, quarter 1"
12302420,9833747,20012,51,5,423310,26378.56,250,"same firm, new worker, quarter 2"
1289179283,9619468,20012,900,5,238321,4850.71,979,"same firm, new worker, quarter 2"
23901823,1242259,20012,61,5,523120,8660.2,987,"same firm, new worker, quarter 2"
123982931,2729943,20012,5,5,624410,10203.92,453,"same firm, new worker, quarter 2"
1239128,8023276,20012,51,3,522110,4956.31,48,"same firm, new worker, quarter 2"
12398129,2003125,20012,39,5,622110,13852.42,321,"same firm, new worker, quarter 2"
